,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,features_duration_ms,time_signature,n_beats,n_bars,popularity_confidence,processing
duration_ms,1.0,-0.07620202648116434,-0.0809318093291268,0.10299630637549322,0.016712420796985823,0.03940317246146786,-0.02331037567868519,-0.0747737016371374,-0.18490226530445675,0.0796854916294427,-0.02118411545404798,-0.14193789897730016,0.04876464429351037,0.9999183383582575,0.009033396110181027,0.839312726108497,0.8380410660747277,-0.0058296981117085,-0.010400427330986449
popularity,-0.07620202648116434,1.0,0.051045957473118464,-0.05654746641355597,-0.008992029091994423,0.046702601295204885,0.07304316404908982,-0.09638217412696874,0.07842385090781222,-0.26684322969707314,0.02710501606029245,0.07765152074880335,-0.024162181751914535,-0.07622806454139122,-0.0031601144551856287,-0.08477431859350203,-0.08913427578924675,-0.0036651672759615275,0.008733372519051001
danceability,-0.0809318093291268,0.051045957473118464,1.0,0.19394016480913517,0.03531109408206164,0.3852438257180248,-0.07242210748439552,0.11145368977311446,-0.19908231721722622,-0.20231556939403092,-0.1741931844978708,0.5595777639527035,0.09226742558585864,-0.08089050203288609,0.29216693855299214,-0.033603999646107836,-0.06933243704404489,0.011601557579612629,-0.0262734096415748
energy,0.10299630637549322,-0.05654746641355597,0.19394016480913517,1.0,0.05781536384774433,0.720906695720205,-0.07996921447192978,0.14345391844289118,-0.6994541699710624,-0.20311107338763953,0.19102350362010853,0.28406870158626074,0.33153820704547504,0.10298548557815457,0.20464611424137305,0.24358641560260835,0.2086148945107062,0.040021581403606094,-0.03784684191621757
key,0.016712420796985823,-0.008992029091994423,0.03531109408206164,0.05781536384774433,1.0,0.04771776352974262,-0.15751542388167455,0.018157235315471407,-0.049866868297081576,-0.0015324967141702281,-0.007419607015048302,0.028221374657435676,0.022414198337852603,0.016785668303257936,0.028387884304721517,0.02713254065879383,0.022042124965130413,0.019789798603575295,-0.49036611562200605
loudness,0.03940317246146786,0.046702601295204885,0.3852438257180248,0.720906695720205,0.04771776352974262,1.0,-0.033544258754809445,0.10979289041222047,-0.5525193641922603,-0.44710553829613264,0.0475019562899994,0.3777432950337124,0.3082030575143331,0.039415212359364224,0.2505681738676441,0.16556540950001875,0.13106367725726392,0.049173831319208564,-0.020563337364720238
mode,-0.02331037567868519,0.07304316404908982,-0.07242210748439552,-0.07996921447192978,-0.15751542388167455,-0.033544258754809445,1.0,-0.06428871887425172,0.08524588033294661,-0.08003485164392678,0.015737876976788547,-0.006907043027954837,-0.01300131636776799,-0.023408905381690315,-0.019378336441904825,-0.030684865162242985,-0.027687102706684463,0.0036979682281926213,0.2611293171583606
speechiness,-0.0747737016371374,-0.09638217412696874,0.11145368977311446,0.14345391844289118,0.018157235315471407,0.10979289041222047,-0.06428871887425172,1.0,-0.08799675505955264,-0.1158031938783286,0.05003383779935574,0.0560679633218801,0.062161274811224215,-0.07472153157426162,0.08073917588843328,-0.04321661558325028,-0.04081953819344738,0.026398707792900575,-0.02290934952059739
acousticness,-0.18490226530445675,0.07842385090781222,-0.19908231721722622,-0.6994541699710624,-0.049866868297081576,-0.5525193641922603,0.08524588033294661,-0.08799675505955264,1.0,0.09425561901927844,-0.07592392508118478,-0.13196093873744755,-0.24424395504615815,-0.18484616867410011,-0.13970561645823565,-0.2833236452169845,-0.24816425254216373,-0.02115456279247607,0.022684361928256798
instrumentalness,0.0796854916294427,-0.26684322969707314,-0.20231556939403092,-0.20311107338763953,-0.0015324967141702281,-0.44710553829613264,-0.08003485164392678,-0.1158031938783286,0.09425561901927844,1.0,-0.08858910456367014,-0.3489552047751316,-0.11746589439187528,0.07975693274724012,-0.12398236707467988,0.03482981906326838,0.044497707194498144,-0.025716266944067114,-0.012960236296066149
liveness,-0.02118411545404798,0.02710501606029245,-0.1741931844978708,0.19102350362010853,-0.007419607015048302,0.0475019562899994,0.015737876976788547,0.05003383779935574,-0.07592392508118478,-0.08858910456367014,1.0,-0.03530491272415629,-0.00814084618977162,-0.021158156327069726,-0.06315167918423743,-0.015254139633888109,-0.015667460106752653,-0.02510445065878053,0.014917139784639672
valence,-0.14193789897730016,0.07765152074880335,0.5595777639527035,0.28406870158626074,0.028221374657435676,0.3777432950337124,-0.006907043027954837,0.0560679633218801,-0.13196093873744755,-0.3489552047751316,-0.03530491272415629,1.0,0.1577729897545151,-0.14196812151474794,0.1937259291739471,-0.07247696323065707,-0.09582489943541615,0.004771336843493317,-0.005609420738938956
tempo,0.04876464429351037,-0.024162181751914535,0.09226742558585864,0.33153820704547504,0.022414198337852603,0.3082030575143331,-0.01300131636776799,0.062161274811224215,-0.24424395504615815,-0.11746589439187528,-0.00814084618977162,0.1577729897545151,1.0,0.0487381286726197,0.2157474093876718,0.455309945509239,0.4345399970199669,0.038471009409927724,-0.003980674966512708
features_duration_ms,0.9999183383582575,-0.07622806454139122,-0.08089050203288609,0.10298548557815457,0.016785668303257936,0.039415212359364224,-0.023408905381690315,-0.07472153157426162,-0.18484616867410011,0.07975693274724012,-0.021158156327069726,-0.14196812151474794,0.0487381286726197,1.0,0.00899719374067595,0.8391722428961736,0.8379145063774867,-0.005828462081268161,-0.010569373442027455
time_signature,0.009033396110181027,-0.0031601144551856287,0.29216693855299214,0.20464611424137305,0.028387884304721517,0.2505681738676441,-0.019378336441904825,0.08073917588843328,-0.13970561645823565,-0.12398236707467988,-0.06315167918423743,0.1937259291739471,0.2157474093876718,0.00899719374067595,1.0,0.10064432211137789,0.01849224251115735,0.023643578705748982,-0.007338824682903225
n_beats,0.839312726108497,-0.08477431859350203,-0.033603999646107836,0.24358641560260835,0.02713254065879383,0.16556540950001875,-0.030684865162242985,-0.04321661558325028,-0.2833236452169845,0.03482981906326838,-0.015254139633888109,-0.07247696323065707,0.455309945509239,0.8391722428961736,0.10064432211137789,1.0,0.9836958476657199,0.008429111092262964,-0.011199359962851199
n_bars,0.8380410660747277,-0.08913427578924675,-0.06933243704404489,0.2086148945107062,0.022042124965130413,0.13106367725726392,-0.027687102706684463,-0.04081953819344738,-0.24816425254216373,0.044497707194498144,-0.015667460106752653,-0.09582489943541615,0.4345399970199669,0.8379145063774867,0.01849224251115735,0.9836958476657199,1.0,0.002788731209070177,-0.009546016923356647
popularity_confidence,-0.0058296981117085,-0.0036651672759615275,0.011601557579612629,0.040021581403606094,0.019789798603575295,0.049173831319208564,0.0036979682281926213,0.026398707792900575,-0.02115456279247607,-0.025716266944067114,-0.02510445065878053,0.004771336843493317,0.038471009409927724,-0.005828462081268161,0.023643578705748982,0.008429111092262964,0.002788731209070177,1.0,2.6790429196501228e-05
processing,-0.010400427330986449,0.008733372519051001,-0.0262734096415748,-0.03784684191621757,-0.49036611562200605,-0.020563337364720238,0.2611293171583606,-0.02290934952059739,0.022684361928256798,-0.012960236296066149,0.014917139784639672,-0.005609420738938956,-0.003980674966512708,-0.010569373442027455,-0.007338824682903225,-0.011199359962851199,-0.009546016923356647,2.6790429196501228e-05,1.0
